time,NasalFlow_cmH2O,SpO2_pct,Activity_gps,PosAngle_deg,AudioVolume_dB,cRIP_Flow
0.0,-0.0017101698113207548,92.00483,0.451836,-10.544044,102.162502,-3.025157232704403e-06
15.9,-0.0028317798742138367,77.010344,5.055927,-15.274484,106.343601,-1.0276729559748429e-05
31.8,-0.000721440251572327,77.205577,2.002505,-10.605082,109.456536,2.3830188679245283e-05
47.7,0.0007486100628930817,86.402885,0.52325,-15.030332,81.897908,-1.5257861635220128e-05
63.6,-0.00011113836477987419,77.128463,1.007281,-14.20632,93.159407,-0.0003047232704402516
79.5,-0.000483874213836478,75.384134,0.336169,-16.525761,78.083037,-0.0002119308176100629
95.4,-0.00023519496855345915,77.862975,0.471673,-18.387418,79.273277,-7.559748427672957e-06
111.3,9.213207547169808e-05,86.647017,0.208295,-14.664104,71.094194,-1.5408805031446544e-06
127.2,-0.0004751823899371069,124.879632,0.241865,-14.633585,87.086133,1.2893081761006289e-06
143.1,-0.00042714465408805034,77.674193,0.385305,-15.915382,77.41162,-3.3333333333333293e-07
159.0,8.71572327044025e-05,86.957453,0.382558,-17.990672,70.972118,6.352201257861636e-07
174.9,-0.0006428616352201257,84.525011,0.323656,-17.410811,78.235632,9.773584905660377e-06
190.8,0.00017999371069182384,92.177295,0.312669,-28.794386,85.010843,-1.0930817610062894e-05
206.7,-0.004874069182389937,90.597614,0.677066,-50.981675,90.626333,2.8176100628930813e-06
222.6,0.0034,93.659393,1.487955,-50.24922,89.802321,-1.5094339622641509e-06
238.5,0.0009730314465408806,91.232856,2.650117,-13.656978,81.562199,-8.628930817610062e-06
254.4,0.0022367232704402513,92.856007,1.848384,52.752294,108.052663,-5.861635220125786e-06
270.3,-0.003904,91.766206,1.236784,126.699752,79.914175,9.503144654088052e-06
286.2,0.0019194088050314476,91.761838,1.296296,29.618917,92.976293,1.5276729559748426e-05
302.1,-0.002767503144654088,91.920234,1.314607,-55.742634,80.64663,-2.040251572327044e-05
318.0,0.00535448427672956,92.148862,0.123757,41.551833,70.02603,1.141509433962264e-05
333.9,-0.0001229433962264151,92.816649,0.118264,42.650516,68.316968,-3.383647798742139e-06
349.8,-0.0009520817610062894,92.83092,0.263229,43.535566,64.288464,3.220125786163522e-06
365.7,5.41132075471698e-05,93.919178,0.144205,42.772592,73.535711,1.1018867924528302e-05
381.6,-0.0023386037735849056,92.851291,2.635773,42.986225,95.021064,-2.1698113207547165e-06
397.5,0.0005016981132075473,92.851225,0.150003,38.194747,80.95182,-5.371069182389937e-06
413.4,-0.0018006163522012579,93.081419,1.569746,89.710764,77.10643,-5.849056603773563e-07
429.3,0.00443991823899371,93.896769,1.787956,52.538662,102.284578,4.396226415094339e-06
445.2,0.0013090817610062894,91.777256,0.258346,14.145801,66.791019,2.3647798742138367e-06
461.1,-0.014967974842767295,92.902881,0.63495,11.582208,69.781878,5.830188679245284e-06
477.0,-0.0008810440251572328,92.903468,0.331286,-64.104831,82.72192,-7.540880503144654e-06
492.9,-0.00122582389937107,92.899676,1.152246,-84.24735,85.926412,1.9496855345912007e-07
508.8,0.004431188679245282,90.759084,0.558957,-69.415132,85.254995,-7.276729559748428e-06
524.7,0.00011767295597484271,90.808224,0.746344,0.29019,74.786989,1.019496855345912e-05
540.6,0.022415729559748427,91.001389,1.912474,48.296525,74.970103,-2.7955974842767296e-05
556.5,-0.005097893081761006,91.887667,0.171672,79.731061,71.613016,2.752830188679245e-05
572.4,-0.008090962264150946,89.759814,0.495783,79.425872,77.197987,3.4025157232704403e-06
588.3,0.0006619182389937091,90.933519,0.390188,78.998606,74.420761,-3.0125786163522023e-06
604.2,-0.017913666666666668,91.903232,0.680118,78.083037,72.009763,1.1037735849056604e-05
620.1,0.01658423899371069,92.853414,0.069433,77.899923,69.568245,-5.044025157232704e-06
636.0,-0.004201459119496856,92.839184,0.07157,77.838885,69.018904,1.1194968553459121e-06
651.9,-0.0011148301886792452,92.946276,0.070044,77.655772,70.361738,3.006289308176101e-06
667.8,0.005613132075471698,92.993217,0.092322,77.594734,69.14098,-3.477987421383648e-06
683.7,-0.010433232704402518,91.724489,0.078894,77.259025,69.415651,6.893081761006289e-06
699.6,0.003318943396226415,92.950349,0.106361,77.41162,71.094194,-1.7547169811320755e-06
715.5,-0.0154324213836478,92.058297,0.310533,77.259025,81.043377,3.8930817610062895e-06
731.4,0.023721823899371067,91.808879,0.058446,77.381101,71.338345,-6.811320754716981e-06
747.3,-0.008525490566037736,92.829699,0.067602,77.075911,70.850042,5.345911949685535e-06
763.2,0.004997830188679245,92.955774,0.140848,76.679165,74.237647,-3.2389937106918244e-06
